Tree,Linearisation
"ChunkPhr (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""Itharo""))) (PlusChunk (N_Chunker (N_Sg_Chunk dliwa_5_6_N)) (PlusChunk (Adv_Chunker (Adv_Chunk (LocAdvNPAdv kakhulu_Adv (DetCN (DetNum NumPl) (UseN qhingi_7_8_N))))) (OneChunk (Symb_Chunker (Symb_Chunk (MkSymb ""zePhasifikhi"")))))))",Itharo idliwa kakhulu eziqhingini zePhasifikhi
PhrUtt NoPConj (UttImpSg PPos (ImpVP (AdvVP (ComplV2 dabul_V2 (DetCN (DetNum NumSg) (UseN phepha_5_6_N))) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN ncwadi_9_10_N))))))) NoVoc,dabula iphepha encwadini
ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop it3_Pron)) (ComplV2 tshel_V2 (UsePron (ProDrop i_Pron))))))) (PlusChunk (V_Chunker (V_i_Chunk futh_V)) (PlusChunk (VP_Chunker (VP_Inf_Chunk PPos (UseV th_V))) (PlusChunk (NP_Chunker (NP_Nom_Reduced_Chunk (Deverb15 PNeg (UseVStative n_V)))) (OneChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2 ding_V2 (Deverb15 PPos (ComplV2 yis_V2 (PronPostdetNP (ProDrop it17_Pron) (DemPostdet that_Quant)))))))))))))),ungitshele futhi ukuthi kungani ngidinga ukukuyisa lapho
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN nani_5_6_N) (DetCN (DetNum NumSg) (UseN vula_9_10_N)))) (ComplV2 and_V2 (RelNP (UsePron (ProDrop it9_Pron)) (UseRCl TPresTemp PPos (RelVPShort IdRP (ComplV2 sik_V2 (UsePron (ProDrop it14_Pron)))))))))) NoVoc,inani lemvula lizokwanda ebusika
ChunkPhr (PlusChunk (N_Chunker (N_Pl_Chunk hhashi_5_6_N)) (PlusChunk comma_Chunk (PlusChunk (N_Chunker (N_Pl_Chunk dube_5_6_N)) (PlusChunk comma_Chunk (OneChunk (Adv_Chunker (Adv_Chunk (NaNPAdv (RelNP (DetCN (DetNum NumPl) (PossNP (UseN bhubesi_5_6_N) (DetCN (DetNum NumSg) (UseN lisa_7_N)))) (UseRCl TPresTemp PPos (RelVP IdRP (CopNPAssoc (DetCN (DetNum NumSg) (UseN hlwenga_3_4_N)))))))))))))),"amahhashi, amadube, namabhubesi esilisa anomhlwenga"
"ChunkPhr (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop i_Pron) (UseV fak_V))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""ugaligi""))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""emasobhweni""))) (OneChunk (Adv_Chunker (Adv_Chunk (NaNPAdv (DetCN (DetNum NumPl) (UseN tshulu_7_8_N)))))))))",ngifaka ugaligi emasobhweni nezitshulu
"ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2 fund_V2 (DetCN (DetNum NumSg) (UseN danso_3_4_N))))))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""engizowenza""))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""emncintiswaneni""))) (OneChunk (NP_Chunker (NP_Gen_Chunk (ProDrop youSg_Pron) (Deverb15 PPos (UseV dans_V))))))))",ngifunda umdanso engizowenza emncintiswaneni wokudansa
PhrUtt NoPConj (UttS (ExistNP (AdvNP (UsePron (ProDrop he_Pron)) (LocAdvNPAdv (NPAdv (DetCN (DetNum NumSg) (UseN hlezi_5_6_N))) (DetCN (DetNum NumSg) (PossNP (UseN thunzi_3_4_N) (RelNP (DetCN (DetNum NumSg) (UseN hlahla_7_8_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA khulu_A))))))))))) NoVoc,ngihlezi emthunzini wesihlahla esikhulu
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV3 tshel_V3 (UsePron (ProDrop youSg_Pron)) (DetCN (DetNum NumSg) (UseN qiniso_5_6_N)))))) NoVoc,ngikutshela iqiniso
"ChunkPhr (PlusChunk (CN_Chunker (CN_Sg_Chunk (PossNP (UseN washi_5_6_N) (UsePron i_Pron)))) (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop i_Pron) (ComplV2 gqok_V2 (UsePron (ProDrop it5_Pron))))) (OneChunk (Symb_Chunker (Symb_Chunk (MkSymb ""ngakwesokunxele""))))))",iwashi lami ngiligqoka ngakwesokunxele
"ChunkPhr (PlusChunk (Imp_Chunker (Imp_Sg_Pos_Chunk (ImpVP (ComplV2 y_V2 (UsePron (ProDrop i_Pron)))))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""eMadagascar""))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""ukuyobona""))) (OneChunk (NP_Chunker (NP_Nom_Chunk (RelNP (DetCN (DetNum NumPl) (PossNP (UseN hlahla_7_8_N) (DetCN (DetNum NumSg) (UseN hlanga_3_4_N)))) (UseRCl TPresTemp PPos (RelVP IdRP (UseV mangalis_V))))))))))",ngiye eMadagascar ukuyobona izihlahla zomhlanga ezimangalisayo
ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TRemFutTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (UseVStative hlal_V))))) (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop i_Pron) (ComplV2 khumbul_V2 (UsePron (ProDrop it3_Pron))))) (OneChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (PossNP (PossNP (UseN shado_3_4_N) (DetCN (DetNum NumSg) (UseN ngani_1_2_N))) (UsePron i_Pron))) (UseRCl TRemPastTemp PPos (RelVP IdRP (CopAP (PositA hle_A))))) (AdvVP (UseVStative banjelw_V) phandle_Adv)))))))),ngiyohlala ngiwukhumbula umshado womngani wami owawumuhle ubanjelwe phandle
ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (UseV sondel_V)))) NoVoc) (PhrUtt NoPConj (UttS (AdvS (KuNPAdv (DetCN (DetNum NumSg) (PredetN (DemPredet yonder_Quant) doda_9_6_N))) (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2 buz_V2 (DetCN (DetNum NumSg) (UseN dlela_9_10_N))))))) NoVoc),ngizosondela kuleya ndoda ngibuze indlela
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (AdvVP (ComplV2 duduz_V2 (DetCN (DetNum NumSg) (UseN felokazi_1_2_N))) (LocAdvAdv (LocAdvNP (LocNNgaAdv phambi_LocN) (DetCN (DetNum NumSg) (UseN ngcwabo_3_4_N)))))))) NoVoc,ngizoduduza umfelokazi ngaphambi komngcwabo
"ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TPastTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN fene_9_10_N)) (ComplV2 zam_V2 (Deverb15 PPos (UseV ngen_V))))))) (PlusChunk (NP_Chunker (NP_Loc_Chunk (DetCN (DetNum NumSg) (UseN ndlu_9_10_N)))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""ukuzothatha""))) (OneChunk (N_Chunker (N_Sg_Chunk thelo_7_8_N))))))",imfene izame ukungena endlini ukuzothatha isithelo
"ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN nyoni_9_10_N)) (CopNP (RelNP (UsePron (ProDrop they6_Pron)) (UseRCl TRemPastTemp PPos (RelVPShort IdRP (ComplV2 gcin_V2 (RelNP (Deverb15 PPos (UseV dl_V)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA ningi_A)))))))))))))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""esikikileni""))) (OneChunk (NP_Chunker (NP_Gen_Chunk (ProDrop it7_Pron) (UsePron they4_Pron))))))",inyoni ingagcina ukudla okuningi esikikileni sayo
"ChunkPhr (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""ummese""))) (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PNeg (PredVP (RelNP (UsePron (ProDrop it3_Pron)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA buthuntu_R))))) (UseV siz_V))))) (OneChunk (Symb_Chunker (Symb_Chunk (MkSymb ""ngalutho""))))))",ummese obuthuntu awusizi ngalutho
"ChunkPhr (PlusChunk (N_Chunker (N_Sg_Chunk kati_5_6_N)) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""lingazelula""))) (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop youPl_Pron) (UseV om_V))) (PlusChunk (VP_Chunker (VP_Main_Chunk TPastTemp PPos (ProDrop it5_Pron) (ComplV2 gcin_V2 (UsePron (ProDrop they8_Pron))))) (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop they10_Pron)) (UseVStative qoqek_V))))) (OneChunk (CN_Chunker (CN_Pl_Chunk (PossNP (UseN zipho_11_10_N) (UsePron it11_Pron))))))))))",ikati lingazelula noma lizigcine ziqoqekile izinzipho zalo
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN dlulamithi_9_10_N)) (AdvVP (ComplV2 dl_V2 (RelNP (DetCN (DetNum NumPl) (UseN qabunga_5_6_N)) (UseRCl TPresTemp PPos (RelVPShort IdRP (CopLocative (LocAdvLoc (LocNAdv phezulu_LocN))))))) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN hlahla_7_8_N)))))))) NoVoc,indlulamithi idla amaqabunga aphezulu esihlahleni
ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (PossNP (UseN ngane_7_8_N) (UsePron i_Pron))) (ComplV2 thand_V2 (Deverb15 PPos (ComplV2 dl_V2 (RelNP (DetCN (DetNum NumSg) (UseN pelepele_1a_2a_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA luhlaza_R))))))))))) NoVoc) (PhrUtt NoPConj (UttQS (UseQCl TRemPastTemp PPos (QuestIAdv what_IAdv (PredVP (UsePron (ProDrop it7_Pron)) (UseV tsh_V))))) NoVoc),izingane zami zithanda ukudla upelepele oluhlaza satshani
ExtPhrConj (ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (PossNP (UseN ngane_9_10_N) (UsePron i_Pron))) (UseV thand_V))))) (PlusChunk (VP_Chunker (VP_Inf_Chunk PPos (UseV gijim_V))) (PlusChunk (NP_Chunker (NP_Loc_Chunk (DetCN (DetNum NumSg) (UseN vula_9_10_N)))) (OneChunk (Imp_Chunker (Imp_Sg_Pos_Chunk (ImpVP (ComplV2 es_V2 (UsePron (ProDrop they_Pron))))))))))) (PhrUtt NoPConj (UttImpSg PPos (ImpVP (UseV zib_V))) (VocNP (DetCN (DetNum NumPl) (UseN nzi_6_N)))),izingane zami ziyathanda ukugijima emvuleni bese ziba manzi
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN baba_1a_2a_N) (UsePron i_Pron))) (CopNP (ExtConjNP (DetCN (DetNum NumPl) (RelN (UseRCl TPresTemp PPos (RelVPShort IdRP (ComplV3 jabulel_V3 (UsePron (ProDrop it17_Pron)) (Deverb15 PPos (UseV dl_V))))) khiwane_5_6_N)) with_Conj (DetCN (DetNum NumSg) (UseN shizi_11_N))))))) NoVoc,ubaba wami uyakujabulela ukudla amakhiwane noshizi
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN baba_1a_2a_N) (UsePron i_Pron))) (ComplV2V sebenzis_V2V (DetCN (DetNum NumPl) (UseN lahle_5_6_N)) (ComplV2 qal_V2 (DetCN (DetNum NumSg) (UseN lilo_3_4_N))))))) NoVoc,ubaba wami usebenzisa amalahle ukuqala umlilo
"ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN dodakazi_9_6_N) (UsePron i_Pron))) (ComplV2 thand_V2 (Deverb15 PPos (UseV khuphukel_V))))))) (PlusChunk (NP_Chunker (NP_Loc_Chunk (DetCN (DetNum NumSg) (UseN gatsha_5_6_N)))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""eliphakeme""))) (PlusChunk (Adv_Chunker (Adv_Chunk kakhulu_Adv)) (OneChunk (NP_Chunker (NP_Gen_Chunk (ProDrop it5_Pron) (DetCN (DetNum NumSg) (UseN hlahla_7_8_N)))))))))",indodakazi yami ithanda ukukhuphukela egatsheni eliphakeme kakhulu lesihlahla
"ChunkPhr (PlusChunk (N_Chunker (N_Sg_Chunk ngoso_1a_2a_N)) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""omncinyana""))) (PlusChunk (VP_Chunker (VP_Main_Chunk TPastTemp PPos (ProDrop he_Pron) (UseV gijim_V))) (PlusChunk (S_Chunker (S_Chunk (UseCl TRemPastTemp PPos (PredVP (UsePron (ProDrop it3_Pron)) (UseV nqamul_V))))) (OneChunk (NP_Chunker (NP_Loc_Chunk (DetCN (DetNum NumSg) (UseN gadi_9_10_N)))))))))",ungoso omncinyana ugijime wanqamula engadini
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN bokwane_3_4_N)) (AdvVP (UseV hlal_V) (LocAdvAdv (LocAdvNP (LocNPAdv (RelNP (DetCN (DetNum NumSg) (UseN gede_3_4_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopLocative (LocAdvLoc (LocNNgaAdv phansi_LocN))))))) (DetCN (DetNum NumPl) (UseN nzi_6_N)))))))) NoVoc,umbokwane uhlala emgedeni ongaphansi kwamanzi
ChunkPhr (PlusChunk (N_Chunker (N_Sg_Chunk khova_7_8_N)) (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop we_Pron) (UseV ndiz_V))) (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop it14_Pron)) (CopAP (PositA thule_R)))))) (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop she_Pron) (UseV m_V))) (OneChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop we_Pron) (UseV zingel_V)))))))),isikhova sindiza buthule uma sizingela
ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN lwane_7_8_N)) (ComplV2 jwayel_V2 (UsePron (ProDrop youSg_Pron))))))) (PlusChunk (VP_Chunker (VP_Inf_Chunk PPos (UseV hlal_V))) (OneChunk (NP_Chunker (NP_Loc_Chunk (RelNP (RelNP (DetCN (DetNum NumPl) (UseN ndawo_9_10_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopNPAssoc (DetCN (DetNum NumSg) (UseN funda_9_10_N)))))) (UseRCl TPresTemp PPos (RelVPShort IdRP (UseVStative om_V))))))))),izilwane ziyakujwayela ukuhlala ezindaweni ezinemfunda ezomile
"ChunkPhr (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""ngalesi""))) (PlusChunk (NP_Chunker (NP_Nom_Reduced_Chunk (DetCN (DetNum NumSg) (PossNP (UseN khathi_7_8_N) (DetCN (DetNum NumSg) (UseN nyaka_11_N)))))) (PlusChunk (NP_Chunker (NP_Gen_Chunk (ProDrop they6_Pron) (DetCN (DetNum NumSg) (UseN mini_9_10_N)))) (PlusChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop it17_Pron)) (UseV shis_V))))) (PlusChunk (Postdet_Chunker (Postdet_Chunk (ProDrop it17_Pron) (QuantPostdet only_QuantStem))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""kusabanda""))) (OneChunk (NP_Chunker (NP_Loc_Chunk (DetCN (DetNum NumSg) (UseN suku_14_N)))))))))))",ngalesi sikhathi sonyaka emini kuyashisa kodwa kusabanda ebusuku
"ChunkPhr (PlusChunk (N_Chunker (N_Pl_Chunk bala_3_4_N)) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""ekulesi""))) (PlusChunk (NP_Chunker (NP_Nom_Reduced_Chunk (DetCN (DetNum NumSg) (UseN thombe_7_8_N)))) (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop they4_Pron) (ComplV2 qal_V2 (UsePron (ProDrop we_Pron))))) (OneChunk (VP_Chunker (VP_Inf_Chunk PPos (UseV fiphal_V))))))))",imibala ekulesi sithombe isiqala ukufiphala
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN thole_5_6_N)) (ComplV2 thengiselw_V2 (DetCN (DetNum NumSg) (RelN (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA nye_A)))) limi_1_2_N)))))) NoVoc,ithole lizothengiselwa omunye umlimi
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN bele_3_4_N) (DetCN (DetNum NumSg) (UseN khomo_9_10_N)))) (ComplV2 gcwal_V2 (DetCN (DetNum NumSg) (PossNP (UseN bisi_11_N) (DetCN (DetNum NumSg) (PossNP (UseN thole_5_6_N) (UsePron it11_Pron))))))))) NoVoc,umbele wenkomo ugcwele ubisi lwethole lalo
PhrUtt NoPConj (UttS (UseCl TRemPastTemp PPos (PredVP (DetCN (DetNum NumPl) (UseN limo_7_8_N)) (AdvVP (AdvVP (ComplV2 chichim_V2 (UsePron (ProDrop they10_Pron))) emva_Adv) (KwaNPAdv (DetCN (DetNum NumSg) (EmphCN (PredetN (QuantPredet all_QuantStem) vula_9_10_N)))))))) NoVoc,izilimo zazichichima emva kwayo yonke imvula
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN singa_3_4_N)) (ComplV2 leth_V2 (RelNP (RelNP (DetCN (DetNum NumPl) (UseN nzi_6_N)) (UseRCl TPresTemp PPos (RelVP IdRP (UseV band_V)))) (UseRCl TPresTemp PPos (RelVPShort IdRP (ComplV3 vel_V3 (RelNP (UsePron (ProDrop youPl_Pron)) (UseRCl TPresTemp PPos (RelVP IdRP (CopNP (UsePron (ProDrop they_Pron)))))) (DetCN (DetNum NumSg) (UseN zimu_5_6_N)))))))))) NoVoc,umsinga uletha amanzi abandayo avela eningizimu
"ExtPhrConj (ChunkPhr (PlusChunk (Imp_Chunker (Imp_Sg_Pos_Chunk (ImpVP (ComplV2 qal_V2 (Deverb15 PPos (UseV sebenz_V)))))) (OneChunk (Symb_Chunker (Symb_Chunk (MkSymb ""entathakusa"")))))) (PhrUtt NoPConj (UttImpSg PNeg (ImpVP (ComplV2 lind_V2 (DetCN (DetNum NumSg) (UseN mini_9_10_N))))) NoVoc)",qala ukusebenza entathakusa ungalindi imini
ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop she_Pron)) (UseV lahlekelw_V))))) (PlusChunk (S_Chunker (S_Chunk (ExistNP (DetCN (DetNum NumSg) (PossNP (UseN khwama_7_8_N) (UsePron it17_Pron)))))) (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop she_Pron) (UseV m_V))) (PlusChunk (Phr_Chunker (Phr_Chunk (PhrUtt NoPConj (UttImpSg PNeg (ImpVP (ComplV2 gcin_V2 (UsePron (ProDrop we_Pron))))) NoVoc))) (PlusChunk (NP_Chunker (NP_Loc_Chunk (DetCN (DetNum NumSg) (UseN ndawo_9_10_N)))) (OneChunk (V_Chunker (V_ile_Chunk epheph_V)))))))),uzolahlekelwa yisikhwama sakho uma ungasigcini endaweni ephephile
ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (ComplV2 bon_V2 (DetCN (DetNum NumSg) (PossNP (UseN hlambi_5_6_N) (DetCN (DetNum NumPl) (UseN nkankane_5_6_N))))))))) (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop it5_Pron) (UseV ndiz_V))) (OneChunk (S_Chunker (S_Chunk (ExistNP (RelNP (UsePron (ProDrop they6_Pron)) (UseRCl TPresTemp PPos (RelVPShort IdRP (CopLocative (LocAdvLoc (LocNPAdv (DetCN (DetNum NumSg) (UseN ndlu_9_10_N)))))))))))))),sibone ihlambi lamankankane lindiza ngasendlini
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop it17_Pron)) (CopNPAssoc (RelNP (DetCN (DetNum NumPl) (UseN gibeli_1_2_N)) (UseRCl TPresTemp PPos (RelVP IdRP (AdvVP (CopAP (PositA ningi_A)) (InstrNPAdv (DetCN (DetNum NumSg) (UseN suku_11_10_N))))))))))) NoVoc,kunabagibeli abaningi ngosuku
ChunkPhr (OneChunk (NP_Chunker (NP_Nom_Chunk (UsePron (ProDrop it17_Pron))))),
"ChunkPhr (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""qontula""))) (PlusChunk (CN_Chunker (CN_Sg_Chunk (PredetN (QuantPredet all_QuantStem) khula_11_10_N))) (OneChunk (Adv_Chunker (Adv_Chunk (LocAdvAdv (LocAdvNP (LocNNgaAdv phambi_LocN) (Deverb15 PPos (ComplV2 tshal_V2 (DetCN (DetNum NumSg) (UseN mbewu_9_10_N)))))))))))",qontula lonke ukhula ngaphambi kokutshala imbewu
ChunkPhr (PlusChunk (V_Chunker (V_e_Chunk cish_V)) (PlusChunk (S_Chunker (S_Chunk (UseCl TRemPastTemp PPos (PredVP (UsePron (ProDrop it7_Pron)) (ComplV2 nyathel_V2 (DetCN (DetNum NumSg) (UseN bululu_5_6_N))))))) (OneChunk (S_Chunker (S_Chunk (AdvS (InstrNPAdv (DetCN (DetNum NumSg) (UseN khathi_7_8_N))) (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (CopLocative (LocAdvLoc (LocNPAdv (DetCN (DetNum NumPl) (UseN ntaba_9_10_N))))))))))))),cishe sanyathela ibululu ngesikhathi sisezintabeni
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop it7_Pron)) (AdvVP (ComplV2 bon_V2 (DetCN (DetNum NumSg) (UseN bhejane_1a_2a_N))) (LocAdvNPAdv (NPAdv (RelNP (UsePron (ProDrop it3_Pron)) (UseRCl TPresTemp PPos (RelVP IdRP (CopQuant only_QuantStem))))) (DetCN (DetNum NumSg) (UseN qiwu_7_8_N))))))) NoVoc,sibone ubhejane owodwa esiqiwini
"ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TPastTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (UseN fula_3_4_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA khulu_A))))) (ComplV2 gcwal_V2 (RelNP (DetCN (DetNum NumPl) (UseN ntu_1_2_N)) (UseRCl TRemPastTemp PPos (RelVPShort IdRP (UseV qhub_V))))))))) (OneChunk (Symb_Chunker (Symb_Chunk (MkSymb ""izikejana"")))))",umfula omkhulu ugcwele abantu abaqhuba izikejana
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop it7_Pron)) (ComplV2V sebenzis_V2V (RelNP (DetCN (DetNum NumSg) (UseN bala_3_4_N)) (UseRCl TPresTemp PPos (RelVPShort IdRP (UseVStative gqam_V)))) (ComplV2 pend_V2 (DetCN (DetNum NumPl) (PredetN (DemPredet this_Quant) donga_11_10_N))))))) NoVoc,sizosebenzisa umbala ogqamile ukupenda lezi zindonga
"ChunkPhr (PlusChunk (CN_Chunker (CN_Sg_Chunk (PossNP (UseN bika_5_6_N) (RelNP (DetCN (DetNum NumSg) (UseN suku_11_10_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA hle_A)))))))) (PlusChunk (Symb_Chunker (Symb_Chunk (MkSymb ""libonakale""))) (OneChunk (Adv_Chunker (Adv_Chunk (InstrNPAdv (RelNP (DetCN (DetNum NumSg) (PossNP (UseN mo_7_8_N) (DetCN (DetNum NumSg) (UseN zulu_5_N)))) (UseRCl TPresTemp PPos (RelVPShort IdRP (UseVStative fudumal_V))))))))))",ibika losuku oluhle libonakale ngesimo sezulu esifudumele
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumPl) (PredetN (DemPredet that_Quant) bazi_7_8_N)) (AdvVP (CopNP (RelNP (UsePron (ProDrop they6_Pron)) (UseRCl TRemPastTemp PPos (RelVP IdRP (ComplV2 shabalalis_V2 (UsePron (ProDrop it9_Pron))))))) (NPAdv (RelNP (DetCN (DetNum NumSg) (PossNP (UseN ngubo_9_10_N) (UsePron youSg_Pron))) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA sha_A)))))))))) NoVoc,lezo zibazi zingayishabalalisa ingubo yakho entsha
ExtPhrConj (ExtPhrConj (PhrUtt NoPConj (UttImpSg PPos (ImpVP (UseV phons_V))) NoVoc) (PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN bhola_5_6_N)) (CopAP (PositA ze_R))))) NoVoc)) (PhrUtt NoPConj (UttS (ExistNP (RelNP (UsePron (ProDrop they6_Pron)) (UseRCl TPresTemp PPos (RelVPShort IdRP (CopLocative (LocAdvLoc (LocNPAdv (UsePron i_Pron))))))))) NoVoc),phonsa ibhola lize ngakimi
ChunkPhr (PlusChunk (S_Chunker (S_Chunk (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN khaya_5_6_N) (UsePron we_Pron))) (UseV pheph_V))))) (PlusChunk (VP_Chunker (VP_Main_Chunk TPresTemp PPos (ProDrop it3_Pron) (UseV m_V))) (OneChunk (S_Chunker (S_Chunk (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop it7_Pron)) (AdvVP (ComplV2 hanq_V2 (UsePron (ProDrop it5_Pron))) (InstrNPAdv (DetCN (DetNum NumPl) (UseN hlahla_7_8_N))))))))))),ikhaya lethu lizophepha uma silihanqa ngezihlahla
ExtPhrConj (PhrUtt NoPConj (UttImpSg PPos (ImpVP (ComplV2 themb_V2 (Deverb15 PPos (UseV th_V))))) NoVoc) (PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (UseN Nkulunkulu_1a_2a_N)) (ComplV2 vikel_V2 (UsePron (ProDrop youSg_Pron)))))) NoVoc),themba ukuthi uNkulunkulu uzokuvikela
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN malokazana_1a_2a_N) (UsePron i_Pron))) (ComplV2 dlal_V2 (ExtConjNP (DetCN (DetNum NumSg) (UseN galofu_5_6_N)) with_Conj (DetCN (DetNum NumSg) (PossNP (UseN dodana_9_6_N) (UsePron i_Pron)))))))) NoVoc,umalokazana wami udlala igalofu nendodana yami
