Tree,Linearisation
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (UseN woman_N)) (UseRCl TPastTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 eat_V2 (DetCN (DetNum NumSg) (UseN fruit_N)))))) NoVoc,inkosikazi ebinesambulela esikhulu idle isithelo
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN girl_N)) (UseRCl TPastTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 buy_V2 (DetCN (DetNum NumSg) (UseN bread_N)))))) NoVoc,intombazana ebingenasambulela esikhulu ayithengi isinkwa
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (UseRCl TFutTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 want_V2 (DetCN (DetNum NumPl) (UseN bean_N)))))) NoVoc,yena umfana ongezukuba najezi elimakhwezikhwezi akayukufuna obhontshisi
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (UseN human_N)) (UseRCl TPresTemp PPos (RelVP IdRP (UseV laugh_V)))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN fish_N)))))) NoVoc,umuntu ohlekayo uyothanda inhlanzi
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumSg) (UseN man_N)))) (ComplV2 enjoy_V2 (DetCN (DetNum NumSg) (UseN mango_N)))))) NoVoc,ubabekazi wendoda akajabulelanga umongo
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN boy_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN porridge_N)))))) NoVoc,umfana ongenasambulela esikhulu akazukuthanda iphalishi
PhrUtt NoPConj (UttS (UseCl TRemPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN girl_N)) (UseRCl TPresTemp PPos (RelVP IdRP (UseV laugh_V)))) (ComplV2 buy_V2 (DetCN (DetNum NumSg) (UseN banana_N)))))) NoVoc,intombazana ehlekayo ayithenganga ubhanana
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN brother_3_N) (DetCN (DetNum NumPl) (EmphCN (UseN woman_N))))) (ComplV2 want_V2 (DetCN (DetNum NumSg) (UseN potato_N)))))) NoVoc,umfowabo wawo amakhosikazi akazukufuna izambane
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumSg) (UseN man_N)))) (ComplV2 prepare_V2 (DetCN (DetNum NumSg) (UseN cheese_N)))))) NoVoc,ubabekazi wendoda uyolungisa ushizi
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN man_N)) (UseRCl TPresTemp PPos (RelVP IdRP (UseV cough_V)))) (ComplV2 cut_V2 (DetCN (DetNum NumSg) (UseN watermelon_N)))))) NoVoc,indoda ekhwehlelayo ayisikanga ikhabe
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (EmphCN (UseN human_N))) (ComplV2 want_V2 (DetCN (DetNum NumSg) (UseN fruit_N)))))) NoVoc,yena umuntu uzofuna isithelo
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (UseRCl TFutTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 cut_V2 (DetCN (DetNum NumSg) (UseN banana_N)))))) NoVoc,yena umfana ongezukuba najezi elingemakhwezikhwezi akasikanga ubhanana
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumPl) (EmphCN (UseN man_N))))) (ComplV2 order_V2 (DetCN (DetNum NumSg) (UseN meat_N)))))) NoVoc,ubabekazi wawo amadoda u-ode inyama
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN man_N))) (UseRCl TPresTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 sell_1_V2 (DetCN (DetNum NumSg) (UseN orange_N)))))) NoVoc,yona indoda engenasambulela engesikhulu ayizukuthengisa iwolintshi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN brother_3_N) (DetCN (DetNum NumPl) (EmphCN (UseN boy_N))))) (ComplV2 order_V2 (DetCN (DetNum NumSg) (UseN cheese_N)))))) NoVoc,umfowabo wabo abafana uzoku-oda ushizi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (UseRCl TPresTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 sell_1_V2 (DetCN (DetNum NumPl) (UseN egg_N)))))) NoVoc,yena umfana ongenasambulela esikhulu akathengisi amaqanda
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN human_N))) (UseRCl TFutTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 enjoy_V2 (DetCN (DetNum NumSg) (UseN milk_N)))))) NoVoc,yena umuntu ongezukuba najezi elingemakhwezikhwezi akayukujabulela ubisi
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN human_N))) (UseRCl TFutTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 pick_V2 (DetCN (DetNum NumSg) (UseN lettuce_N)))))) NoVoc,yena umuntu ongezukuba nasambulela esikhulu akakhanga uletisi
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN man_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 enjoy_V2 (DetCN (DetNum NumSg) (UseN avocado_N)))))) NoVoc,indoda engenajezi elimakhwezikhwezi ayijabulelanga ukwatapheya
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN human_N)) (UseRCl TPresTemp PPos (RelVP IdRP (UseV laugh_V)))) (ComplV2 pick_V2 (DetCN (DetNum NumSg) (UseN fruit_N)))))) NoVoc,umuntu ohlekayo akayukukha isithelo
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (UsePron i_Pron) (ComplV2 order_V2 (DetCN (DetNum NumSg) (UseN fish_N)))))) NoVoc,mina angi-odanga inhlanzi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_maternal_N) (DetCN (DetNum NumSg) (UseN man_N)))) (ComplV2 want_V2 (DetCN (DetNum NumSg) (UseN orange_N)))))) NoVoc,umamekazi wendoda uzofuna iwolintshi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN human_N))) (UseRCl TPresTemp PPos (RelVP IdRP (UseV laugh_V)))) (ComplV2 enjoy_V2 (DetCN (DetNum NumSg) (UseN lettuce_N)))))) NoVoc,yena umuntu ohlekayo uzojabulela uletisi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN girl_N))) (UseRCl TPresTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 eat_V2 (DetCN (DetNum NumSg) (UseN pumpkin_N)))))) NoVoc,yona intombazana enejezi elimakhwezikhwezi izokudla ithanga
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN girl_N)) (UseRCl TFutTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 buy_V2 (DetCN (DetNum NumSg) (UseN milk_N)))))) NoVoc,intombazana engezukuba najezi elingemakhwezikhwezi ayithenganga ubisi
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN man_N))) (UseRCl TPresTemp PNeg (RelVP IdRP (UseV laugh_V)))) (ComplV2 order_V2 (DetCN (DetNum NumSg) (UseN porridge_N)))))) NoVoc,yona indoda engahleki ayiyuku-oda iphalishi
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (UseN boy_N)) (UseRCl TFutTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 cut_V2 (DetCN (DetNum NumSg) (UseN vegetable_N)))))) NoVoc,umfana ozoba nesambulela esikhulu uyosika umfino
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumSg) (PredetN (DemPredet that_Quant) girl_N)) (ComplV2 want_V2 (DetCN (DetNum NumSg) (UseN vegetable_N)))))) NoVoc,leyo ntombazana ayifunanga umfino
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumPl) (EmphCN (UseN boy_N))))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN orange_N)))))) NoVoc,ubabekazi wabo abafana akathandanga iwolintshi
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (UseN girl_N)) (UseRCl TFutTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 sell_1_V2 (DetCN (DetNum NumSg) (UseN bread_N)))))) NoVoc,intombazana ezoba nejezi elimakhwezikhwezi iyothengisa isinkwa
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN human_N)) (UseRCl TPastTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN milk_N)))))) NoVoc,umuntu obengenajezi elingemakhwezikhwezi akazukuthanda ubisi
PhrUtt NoPConj (UttS (UseCl TRemPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (UseRCl TPastTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 enjoy_V2 (DetCN (DetNum NumPl) (UseN water_N)))))) NoVoc,yena umfana obengenasambulela engesikhulu akajabulelanga amanzi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN brother_3_N) (DetCN (DetNum NumPl) (EmphCN (UseN woman_N))))) (ComplV2 pick_V2 (DetCN (DetNum NumSg) (UseN fruit_N)))))) NoVoc,umfowabo wawo amakhosikazi akakhi isithelo
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN human_N)) (UseRCl TPastTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 order_V2 (DetCN (DetNum NumPl) (UseN egg_N)))))) NoVoc,umuntu obengenasambulela engesikhulu aka-odanga amaqanda
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN woman_N))) (UseRCl TPresTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 order_V2 (DetCN (DetNum NumPl) (UseN water_N)))))) NoVoc,yona inkosikazi enejezi elimakhwezikhwezi ayiyuku-oda amanzi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN woman_N))) (UseRCl TFutTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN vegetable_N)))))) NoVoc,yona inkosikazi engezukuba najezi elingemakhwezikhwezi ayithandi umfino
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN man_N))) (UseRCl TPresTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN vegetable_N)))))) NoVoc,yona indoda engenasambulela esikhulu ayiyukuthanda umfino
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN human_N))) (UseRCl TPresTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN avocado_N)))))) NoVoc,yena umuntu onesambulela esikhulu akayukuthanda ukwatapheya
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumSg) (EmphCN (UseN man_N))))) (ComplV2 cut_V2 (DetCN (DetNum NumSg) (UseN potato_N)))))) NoVoc,ubabekazi wayo indoda akazukusika izambane
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN boy_N)) (UseRCl TFutTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 want_V2 (DetCN (DetNum NumSg) (UseN avocado_N)))))) NoVoc,umfana ongezukuba najezi elingemakhwezikhwezi akafuni ukwatapheya
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN woman_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (UseV cough_V)))) (ComplV2 enjoy_V2 (DetCN (DetNum NumSg) (UseN fruit_N)))))) NoVoc,inkosikazi engakhwehleli ayizukujabulela isithelo
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (UseRCl TPresTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 buy_V2 (DetCN (DetNum NumSg) (UseN banana_N)))))) NoVoc,yena umfana ongenajezi elingemakhwezikhwezi akathenganga ubhanana
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN human_N)) (UseRCl TPastTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 sell_1_V2 (DetCN (DetNum NumPl) (UseN bean_N)))))) NoVoc,umuntu obengenasambulela engesikhulu akathengisanga obhontshisi
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN girl_N)) (UseRCl TPastTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 buy_V2 (DetCN (DetNum NumSg) (UseN vegetable_N)))))) NoVoc,intombazana ebinejezi elimakhwezikhwezi ayizukuthenga umfino
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (UseRCl TPresTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 buy_V2 (DetCN (DetNum NumPl) (UseN water_N)))))) NoVoc,yena umfana onejezi elimakhwezikhwezi akazukuthenga amanzi
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))))) (ComplV2 pick_V2 (DetCN (DetNum NumSg) (UseN banana_N)))))) NoVoc,ubabekazi wakhe umfana uyokukha ubhanana
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN brother_3_N) (DetCN (DetNum NumPl) (UseN girl_N)))) (ComplV2 want_V2 (DetCN (DetNum NumSg) (UseN vegetable_N)))))) NoVoc,umfowabo wamantombazana ufuna umfino
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN boy_N)) (UseRCl TPresTemp PPos (RelVP IdRP (UseV laugh_V)))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN fruit_N)))))) NoVoc,umfana ohlekayo akayukuthanda isithelo
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumSg) (UseN girl_N)))) (ComplV2 like_V2 (DetCN (DetNum NumPl) (UseN egg_N)))))) NoVoc,ubabekazi wentombazana uzothanda amaqanda
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (DetCN (DetNum NumSg) (EmphCN (UseN girl_N))) (ComplV2 want_V2 (DetCN (DetNum NumSg) (UseN pumpkin_N)))))) NoVoc,yona intombazana ifune ithanga
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN girl_N))) (UseRCl TPresTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 grow_V2 (DetCN (DetNum NumSg) (UseN pumpkin_N)))))) NoVoc,yona intombazana enesambulela esikhulu imilise ithanga
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (PredetN (DemPredet yonder_Quant) woman_N)) (ComplV2 want_V2 (DetCN (DetNum NumSg) (UseN lettuce_N)))))) NoVoc,leya nkosikazi ayifuni uletisi
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (UseRCl TPresTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN umbrella_N)) (UseRCl TPresTemp PNeg (RelVP IdRP (CopAP (PositA big_A))))))))) (ComplV2 grow_V2 (DetCN (DetNum NumSg) (UseN lettuce_N)))))) NoVoc,yena umfana ongenasambulela engesikhulu akamilisanga uletisi
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN man_N))) (UseRCl TPastTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 order_V2 (DetCN (DetNum NumSg) (UseN vegetable_N)))))) NoVoc,yona indoda ebinejezi elimakhwezikhwezi ayizuku-oda umfino
PhrUtt NoPConj (UttS (UseCl TPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN man_N))) (UseRCl TFutTemp PNeg (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 like_V2 (DetCN (DetNum NumSg) (UseN porridge_N)))))) NoVoc,yona indoda engezukuba najezi elimakhwezikhwezi ayithandanga iphalishi
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN woman_N))) (UseRCl TPresTemp PPos (RelVP IdRP (UseV laugh_V)))) (ComplV2 buy_V2 (DetCN (DetNum NumSg) (UseN coffee_N)))))) NoVoc,yona inkosikazi ehlekayo ayiyukuthenga ikhofi
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN girl_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 order_V2 (DetCN (DetNum NumPl) (UseN bean_N)))))) NoVoc,intombazana enejezi elimakhwezikhwezi ayiyuku-oda obhontshisi
PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (DetCN (DetNum NumSg) (PredetN (DemPredet yonder_Quant) man_N)) (ComplV2 cut_V2 (DetCN (DetNum NumSg) (UseN mango_N)))))) NoVoc,leya ndoda ayizukusika umongo
PhrUtt NoPConj (UttS (UseCl TRemPastTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (UseN woman_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 grow_V2 (DetCN (DetNum NumSg) (UseN watermelon_N)))))) NoVoc,inkosikazi enejezi elimakhwezikhwezi ayimilisanga ikhabe
PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (UseN girl_N)) (UseRCl TFutTemp PPos (RelVP IdRP (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN sweater_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA colourful_R))))))))) (ComplV2 cut_V2 (DetCN (DetNum NumSg) (UseN avocado_N)))))) NoVoc,intombazana ezoba nejezi elimakhwezikhwezi isika ukwatapheya
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN aunt_paternal_N) (DetCN (DetNum NumPl) (UseN man_N)))) (ComplV2 want_V2 (DetCN (DetNum NumPl) (UseN bean_N)))))) NoVoc,ubabekazi wamadoda akafuni obhontshisi
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN girl_N))) (UseRCl TPresTemp PPos (RelVP IdRP (UseV laugh_V)))) (ComplV2 sell_1_V2 (DetCN (DetNum NumPl) (UseN egg_N)))))) NoVoc,yona intombazana ehlekayo izothengisa amaqanda
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN brother_3_N) (DetCN (DetNum NumPl) (EmphCN (UseN man_N))))) (ComplV2 buy_V2 (DetCN (DetNum NumSg) (UseN meat_N)))))) NoVoc,umfowabo wawo amadoda akayukuthenga inyama
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PNeg (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (UseRCl TPresTemp PPos (RelVP IdRP (UseV laugh_V)))) (ComplV2 buy_V2 (DetCN (DetNum NumSg) (UseN banana_N)))))) NoVoc,yena umfana ohlekayo akayukuthenga ubhanana
PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN human_N))) (UseRCl TPresTemp PPos (RelVP IdRP (UseV laugh_V)))) (ComplV2 eat_V2 (DetCN (DetNum NumSg) (UseN banana_N)))))) NoVoc,yena umuntu ohlekayo uzokudla ubhanana
PhrUtt NoPConj (UttS (UseCl TRemFutTemp PPos (PredVP (RelNP (DetCN (DetNum NumSg) (EmphCN (UseN boy_N))) (UseRCl TPresTemp PPos (RelVP IdRP (UseV cough_V)))) (ComplV2 cut_V2 (DetCN (DetNum NumSg) (UseN pumpkin_N)))))) NoVoc,yena umfana okhwehlelayo uyosika ithanga
